Suburb,Rooms,Price,Bathroom,Car,Landsize,Lattitude,Longtitude
Altona,5,1525000,3,3,729,-37.8721,144.8105
Altona,2,720000,1,2,292,-37.8687,144.8197
Altona,3,1120000,1,2,506,-37.8693,144.8375
Altona,4,780000,1,4,655,-37.868,144.8154
Altona,4,1780000,3,6,1057,-37.8681,144.819
Altona,3,630000,1,2,311,-37.8702,144.8143
Altona,2,406000,1,1,65,-37.8693,144.8171
Altona,3,660000,1,1,602,-37.8616,144.8116
Altona,3,683500,1,1,530,-37.8594,144.817
Altona,2,580000,1,1,225,-37.8696,144.827
Altona,3,1335000,1,4,777,-37.8697,144.8249
Altona,3,800000,2,2,280,-37.8734,144.8143
Altona,2,510000,1,1,127,-37.8686,144.8182
Altona,4,1070000,2,2,695,-37.8733,144.8147
Altona,2,425000,1,2,115,-37.871,144.8185
Altona,3,605000,2,2,230,-37.8646,144.827
Altona,3,705000,2,2,197,-37.8579,144.8181
Altona,2,391000,1,1,0,-37.8678,144.8384
Altona,2,440000,1,1,0,-37.8659,144.831
Altona,4,845000,1,2,745,-37.8658,144.8155
Altona,3,743000,2,2,211,-37.8698,144.816
Altona,3,730000,2,1,69,-37.868,144.8286
Altona,3,635000,1,4,625,-37.8611,144.8114
Altona,2,620000,1,1,168,-37.8676,144.8202
Altona,2,447000,1,1,137,-37.8655,144.8299
Altona,3,730000,2,1,70,-37.868,144.8287
Altona,3,678000,1,2,606,-37.8608,144.8124
Altona,2,580000,2,1,175,-37.8687,144.8268
Altona,3,712000,1,2,363,-37.8674,144.8375
Altona,3,840000,2,2,534,-37.86,144.8245
Altona,3,980000,1,2,724,-37.8672,144.817
Altona,3,605100,2,0,265,-37.8583,144.8172
Altona,3,880000,3,1,577,-37.8699,144.8235
Altona,3,577000,2,1,205,-37.8684,144.815
Altona,4,1030000,1,0,797,-37.8663,144.8387
Altona,3,605000,1,2,181,-37.8659,144.822
Altona,3,753000,2,2,529,-37.8612,144.8247
Altona,2,857000,2,1,675,-37.8653,144.8129
Altona,3,1500000,1,1,929,-37.8651,144.832
Altona,3,730000,2,1,70,-37.868,144.8285
Altona,3,900000,1,4,697,-37.871,144.8075
Altona,3,740000,1,2,604,-37.8631,144.8195
Altona,4,931000,2,3,532,-37.8637,144.8365
Altona,2,535600,1,1,154,-37.8646,144.8272
Altona North,5,1085000,3,6,592,-37.8388,144.8567
Altona North,3,781000,1,2,533,-37.8291,144.835
Altona North,3,750000,1,3,554,-37.8449,144.85
Altona North,2,421000,1,1,77,-37.8351,144.8529
Altona North,3,1405000,1,3,655,-37.8338,144.8562
Altona North,3,683000,1,2,534,-37.8284,144.8355
Altona North,3,623000,1,3,540,-37.8267,144.8368
Altona North,3,720000,2,1,0,-37.8379,144.8583
Altona North,3,588000,1,1,328,-37.838,144.8555
Altona North,3,710000,1,3,540,-37.8294,144.8378
Altona North,4,875000,1,4,559,-37.8448,144.8529
Altona North,3,700000,1,3,554,-37.8449,144.85
Altona North,2,640000,1,1,252,-37.8397,144.8602
Altona North,4,650000,1,4,558,-37.8451,144.8529
Altona North,3,675000,2,2,171,-37.8337,144.8554
Altona North,3,708000,1,2,585,-37.8258,144.8523
Altona North,4,965000,1,4,851,-37.8345,144.8444
Altona North,3,680000,1,3,551,-37.8254,144.8514
Altona North,3,770000,1,3,602,-37.8327,144.8451
Altona North,3,923000,1,2,740,-37.8269,144.8455
Altona North,4,693000,2,4,315,-37.8391,144.8467
Altona North,3,620000,2,2,276,-37.8262,144.8443
Altona North,3,728500,1,1,531,-37.8277,144.8385
Altona North,3,931000,2,1,590,-37.8382,144.8649
Altona North,3,988000,1,4,715,-37.8423,144.8632
Altona North,3,590000,1,2,561,-37.8444,144.8491
Altona North,2,610000,1,2,691,-37.834,144.8553
Altona North,3,815000,2,3,555,-37.8318,144.8388
Altona North,4,970000,1,2,708,-37.833,144.8494
Altona North,4,760000,1,3,668,-37.8262,144.8439
Altona North,4,847500,3,1,252,-37.8393,144.8568
Altona North,4,1200000,1,4,633,-37.8375,144.8541
Altona North,3,700000,1,1,557,-37.8441,144.8505
Altona North,3,625000,1,1,536,-37.8285,144.8351
Altona North,2,292000,1,1,153,-37.8332,144.8649
Armadale,2,599000,1,1,0,-37.8543,145.0262
Armadale,2,550000,1,0,861,-37.8539,145.0284
Armadale,3,995000,2,2,0,-37.8552,145.016
Armadale,3,1205000,2,2,101,-37.854,145.0135
Armadale,3,1939000,2,2,296,-37.8614,145.0274
Armadale,1,421500,1,0,0,-37.853,145.0167
Armadale,3,1870000,1,1,217,-37.8592,145.0182
Armadale,2,678000,1,2,0,-37.8538,145.0127
Armadale,3,1918000,2,2,0,-37.8537,145.0267
Armadale,2,660000,1,1,0,-37.8619,145.0257
Armadale,3,2050000,2,1,205,-37.8574,145.0281
Armadale,2,700000,1,2,0,-37.8552,145.016
Armadale,2,3625000,2,2,0,-37.8555,145.0291
Armadale,4,3000000,2,2,1581,-37.858,145.0111
Armadale,5,1525000,2,2,693,-37.8638,145.0229
Armadale,3,735000,2,1,2113,-37.8543,145.0262
Armadale,2,825000,1,1,0,-37.8528,145.0268
Armadale,3,1586000,2,2,246,-37.8566,145.0116
Armadale,2,645000,1,1,0,-37.8596,145.0198
Armadale,1,1435000,2,1,144,-37.8564,145.0228
Armadale,1,280000,1,1,0,-37.8619,145.0185
Armadale,1,400000,1,1,0,-37.8605,145.0185
Armadale,2,1780000,2,2,0,-37.8537,145.0267
Armadale,2,592500,1,1,0,-37.8574,145.0174
Armadale,2,1210000,1,0,249,-37.8543,145.016
Armadale,4,2801000,2,2,624,-37.8536,145.0173
Armadale,1,390000,1,0,881,-37.8614,145.0222
Armadale,3,1800000,2,2,405,-37.8545,145.0145
Armadale,4,2200000,1,2,495,-37.8613,145.0264
Armadale,1,324000,1,1,0,-37.8537,145.0114
Armadale,6,5525000,3,4,1491,-37.8602,145.013
Armadale,2,1125000,1,2,169,-37.851,145.0161
Armadale,3,2250000,3,1,301,-37.8511,145.0167
Armadale,3,2360000,2,0,336,-37.8558,145.015
Armadale,2,1900000,2,0,207,-37.8571,145.0224
Armadale,1,440000,1,1,0,-37.8531,145.0115
Armadale,2,490000,1,1,0,-37.8646,145.0247
Armadale,3,2365000,2,1,316,-37.8521,145.019
Armadale,3,1300000,1,2,212,-37.8542,145.0149
Armadale,3,732000,2,2,0,-37.8597,145.0104
Armadale,2,704000,1,1,0,-37.8573,145.0186
Armadale,2,620000,1,1,0,-37.8596,145.0198
Armadale,3,1900000,1,2,328,-37.8559,145.0158
Armadale,1,315000,1,1,0,-37.8575,145.0174
Armadale,1,450000,1,1,0,-37.8509,145.0203
Armadale,2,710000,1,1,2471,-37.8573,145.0186
Armadale,2,872000,1,1,1194,-37.8604,145.0147
Armadale,2,598000,1,1,0,-37.8593,145.0156
Armadale,3,1285000,1,2,186,-37.8554,145.0173
Armadale,4,3660000,3,2,421,-37.8593,145.0275
Armadale,2,520000,1,1,0,-37.8618,145.0183
Armadale,4,3625000,1,2,709,-37.8574,145.016
Armadale,4,4200000,3,3,563,-37.8582,145.0138
Armadale,3,1101000,1,2,103,-37.8542,145.0135
Armadale,3,3512500,2,2,617,-37.8557,145.0264
Armadale,4,2000000,3,4,544,-37.8611,145.0195
Armadale,3,869000,1,1,0,-37.853,145.0264
Armadale,5,2810000,2,2,617,-37.8611,145.0271
Armadale,2,565000,1,1,0,-37.8573,145.0112
Armadale,1,567000,1,1,0,-37.8549,145.0113
Armadale,2,546000,0,0,0,-37.8568,145.0161
Armadale,2,471500,1,1,0,-37.8503,145.0185
Ascot Vale,2,455000,1,2,0,-37.7756,144.9165
Ascot Vale,3,940000,1,2,298,-37.7777,144.9195
Ascot Vale,2,467000,1,1,0,-37.7761,144.9201
Ascot Vale,3,1380000,2,2,277,-37.7777,144.9221
Ascot Vale,2,490000,1,1,423,-37.7736,144.9015
Ascot Vale,4,1850000,3,1,478,-37.7729,144.9179
Ascot Vale,3,1284000,1,2,623,-37.7758,144.9089
Ascot Vale,3,971000,2,2,285,-37.775,144.9091
Ascot Vale,2,710000,1,1,214,-37.7776,144.9142
Ascot Vale,6,2425000,3,2,1014,-37.7721,144.9184
Ascot Vale,2,750000,1,1,226,-37.7745,144.9093
Ascot Vale,2,1053000,1,1,269,-37.7748,144.929
Ascot Vale,3,1377000,1,1,417,-37.7756,144.9208
Ascot Vale,3,970000,1,2,350,-37.7759,144.91
Ascot Vale,2,940000,1,1,330,-37.773,144.9049
Ascot Vale,2,751000,1,1,118,-37.7807,144.9288
Ascot Vale,2,950000,1,1,173,-37.7731,144.9206
Ascot Vale,2,685000,1,2,228,-37.7718,144.9066
Ascot Vale,3,1230000,1,2,594,-37.7819,144.9064
Ascot Vale,2,636500,1,1,0,-37.7738,144.9345
Ascot Vale,3,910000,1,0,317,-37.7746,144.9112
Ascot Vale,2,770000,1,1,226,-37.7774,144.9186
Ascot Vale,3,960000,2,2,229,-37.7778,144.9065
Ascot Vale,4,890000,1,1,300,-37.7766,144.9143
Ascot Vale,2,965000,1,1,170,-37.7732,144.9206
Ascot Vale,3,1440000,1,1,487,-37.7725,144.9146
Ascot Vale,2,955000,1,0,255,-37.7825,144.9208
Ascot Vale,2,450000,1,1,0,-37.7731,144.9074
Ascot Vale,3,801000,1,2,431,-37.781,144.9207
Ascot Vale,3,1000000,2,2,440,-37.7746,144.9031
Ascot Vale,3,1435000,2,2,532,-37.7737,144.904
Ascot Vale,1,390000,1,1,0,-37.7723,144.9094
Ascot Vale,3,1425000,2,2,495,-37.7821,144.9055
Ascot Vale,4,1340000,2,2,683,-37.775,144.932
Ascot Vale,3,955000,1,1,263,-37.7753,144.9116
Ascot Vale,4,1100000,2,5,559,-37.7791,144.9136
Ascot Vale,3,1255000,2,2,308,-37.7759,144.9338
Ascot Vale,2,432000,1,1,0,-37.773,144.9303
Ascot Vale,4,1640000,3,2,562,-37.782,144.903
Ascot Vale,6,1430000,2,1,461,-37.78,144.9295
Ascot Vale,2,610000,1,1,301,-37.7791,144.914
Ascot Vale,3,940000,3,1,491,-37.7727,144.9136
Ascot Vale,3,890000,1,1,242,-37.7765,144.9114
Ascot Vale,3,1180000,2,2,617,-37.7742,144.906
Ascot Vale,4,1480000,2,2,597,-37.7757,144.9088
Ascot Vale,2,1150000,1,1,387,-37.7734,144.9191
Ascot Vale,3,1350000,1,3,575,-37.7828,144.9049
Ascot Vale,5,1905000,2,2,521,-37.7778,144.9261
Ascot Vale,2,865000,2,1,146,-37.7713,144.9038
Ascot Vale,2,705000,2,1,113,-37.7712,144.9088
Ascot Vale,2,442000,1,1,0,-37.7733,144.9219
Ascot Vale,2,540000,2,1,0,-37.7786,144.9141
Ascot Vale,3,1037500,1,2,506,-37.7779,144.9133
Ascot Vale,3,1050000,2,2,318,-37.7744,144.9035
Ascot Vale,2,440000,1,1,0,-37.7749,144.9137
Ascot Vale,2,1010000,1,1,325,-37.7722,144.9117
Ascot Vale,4,1430000,2,0,418,-37.7766,144.9187
Ascot Vale,2,570000,1,1,0,-37.7779,144.9137
Ascot Vale,2,690000,1,1,0,-37.7728,144.9169
Ascot Vale,3,1291000,1,2,414,-37.7766,144.9185
Ascot Vale,3,1130000,2,1,272,-37.7774,144.928
Ascot Vale,3,1135000,1,1,296,-37.777,144.9176
Ascot Vale,4,950000,2,1,298,-37.7778,144.9131
Ascot Vale,3,790000,2,1,0,-37.7722,144.9163
Ascot Vale,2,390000,1,1,1957,-37.7731,144.9074
Ascot Vale,4,1345000,1,1,552,-37.7769,144.9138
Ascot Vale,3,1381500,2,2,416,-37.7727,144.9055
Ascot Vale,3,940000,2,2,285,-37.7778,144.9061
Ascot Vale,3,995000,2,1,314,-37.7778,144.9042
Ascot Vale,3,1050000,1,3,536,-37.7728,144.9076
Ascot Vale,3,786000,2,1,576,-37.7816,144.9217
Ascot Vale,2,705000,1,3,252,-37.7825,144.9206
Ascot Vale,2,760000,1,1,124,-37.7807,144.9285
Ascot Vale,3,487500,1,3,0,-37.7723,144.9094
Ascot Vale,3,1000000,2,2,200,-37.7766,144.9277
Ascot Vale,4,1110000,2,1,349,-37.7775,144.913
Ascot Vale,4,1300000,1,4,664,-37.7765,144.9132
Ascot Vale,3,1060000,1,1,555,-37.7767,144.9125
Ascot Vale,3,1410000,2,2,459,-37.7767,144.9124
Ascot Vale,3,1305000,1,1,278,-37.7768,144.9223
Ascot Vale,3,932500,2,1,254,-37.7738,144.9215
Ascot Vale,3,965000,1,0,216,-37.7792,144.9297
Ascot Vale,3,1215000,1,1,452,-37.7762,144.9174
Ascot Vale,2,545000,1,2,194,-37.7772,144.9118
Ascot Vale,4,1705000,2,4,598,-37.7774,144.9104
Ascot Vale,3,970000,1,1,194,-37.7756,144.921
Ascot Vale,2,925000,1,1,407,-37.7756,144.9105
Ashburton,4,2650000,3,2,753,-37.8669,145.0767
Ashburton,3,1670000,2,2,599,-37.8673,145.0688
Ashburton,3,955000,2,2,203,-37.8655,145.0807
Ashburton,3,2050000,3,4,310,-37.874,145.0714
Ashburton,2,500000,1,1,710,-37.8636,145.0794
Ashburton,2,1575000,1,2,679,-37.869,145.0822
Ashburton,3,1555000,2,2,731,-37.8666,145.0676
Ashburton,3,1100000,3,2,276,-37.8699,145.0778
Ashburton,3,1337000,1,2,583,-37.8685,145.0786
Ashburton,8,2950000,7,4,1472,-37.8729,145.0788
Ashburton,4,2215000,2,1,681,-37.8612,145.0858
Ashburton,3,1518000,2,2,516,-37.8675,145.0668
Ashburton,3,1710000,1,2,806,-37.8695,145.084
Ashburton,3,1655000,1,3,780,-37.8599,145.0815
Ashburton,4,1550000,2,2,780,-37.86,145.0817
Ashburton,3,1662000,2,2,351,-37.8742,145.07
Ashburton,3,1665000,2,3,702,-37.8737,145.0695
Ashburton,2,1445000,1,2,704,-37.8745,145.0738
Ashburton,5,3510000,5,2,755,-37.8598,145.0796
Ashburton,3,968000,1,1,227,-37.8709,145.0857
Ashburton,3,900000,2,2,153,-37.8655,145.0808
Ashburton,3,1500000,1,2,545,-37.8605,145.0833
Ashburton,5,2752000,4,2,1075,-37.8714,145.073
Ashburton,3,1500000,2,2,710,-37.8653,145.0897
Ashburton,4,1800000,2,4,749,-37.8669,145.077
Ashburton,3,1830000,2,3,724,-37.8619,145.0879
Ashburton,3,1415000,1,1,605,-37.8703,145.0774
Ashburton,2,1440000,1,1,687,-37.872,145.0692
Ashburton,4,1250000,2,2,321,-37.8693,145.08
Ashburton,3,1422000,1,2,583,-37.8679,145.0781
Ashburton,5,1600000,3,4,700,-37.8724,145.0758
Ashburton,4,1860000,2,3,696,-37.8711,145.0746
Ashburton,3,1710000,2,2,295,-37.8624,145.0798
Ashburton,4,1790000,2,2,514,-37.8664,145.0772
Ashburton,4,1950000,2,2,844,-37.8715,145.0688
Ashburton,3,1600000,1,2,637,-37.8645,145.0797
Ashburton,3,1320000,1,2,1063,-37.8752,145.0754
Ashburton,3,1650000,1,1,697,-37.8636,145.0903
Ashwood,2,995000,1,1,583,-37.8693,145.1082
Ashwood,3,1250000,1,1,842,-37.867,145.1092
Ashwood,3,1045000,2,2,467,-37.8639,145.0968
Ashwood,4,1200000,3,2,372,-37.8716,145.0999
Ashwood,2,1075000,1,2,695,-37.8694,145.0944
Ashwood,4,1500000,2,2,621,-37.8647,145.1023
Ashwood,3,1120000,1,2,723,-37.8642,145.1109
Ashwood,2,700000,1,2,367,-37.8662,145.109
Ashwood,3,761000,2,4,400,-37.8675,145.106
Ashwood,4,1270000,2,1,724,-37.8651,145.1109
Ashwood,4,1510000,2,2,526,-37.8661,145.1013
Ashwood,3,1365000,1,1,792,-37.864,145.0972
Ashwood,4,1100000,2,2,803,-37.8621,145.1126
Ashwood,4,1415000,3,2,724,-37.8651,145.1107
Ashwood,2,690000,1,1,216,-37.8711,145.1017
Ashwood,3,1631000,2,3,782,-37.8621,145.1021
Ashwood,4,1500000,2,1,593,-37.8655,145.096
Ashwood,3,1060000,1,2,772,-37.8707,145.1036
Ashwood,5,1529500,3,2,585,-37.8637,145.1024
Ashwood,2,600000,1,1,153,-37.8696,145.0962
Ashwood,2,535000,1,1,72,-37.8702,145.1042
Ashwood,3,785000,1,1,557,-37.8671,145.1117
Ashwood,4,1240000,2,2,766,-37.8629,145.1097
Ashwood,2,700000,1,2,192,-37.8709,145.102
Ashwood,4,1350000,2,1,727,-37.8669,145.1106
Ashwood,2,1110000,1,1,586,-37.8683,145.1082
Ashwood,3,1305000,1,1,760,-37.858,145.1038
Ashwood,3,855000,2,1,320,-37.87,145.1103
Ashwood,3,900500,2,2,256,-37.8655,145.1096
Ashwood,3,1200000,2,2,839,-37.8614,145.1098
Ashwood,3,830000,1,2,212,-37.8723,145.1089
Avondale Heights,3,850000,1,1,593,-37.7677,144.8674
Avondale Heights,3,750000,1,1,0,-37.7634,144.8611
Avondale Heights,3,851000,3,1,557,-37.77,144.8572
Avondale Heights,3,848000,1,2,542,-37.7706,144.8629
Avondale Heights,4,806000,2,1,350,-37.7676,144.859
Avondale Heights,4,1155000,2,2,569,-37.7654,144.8655
Avondale Heights,3,670000,2,2,671,-37.7593,144.871
Avondale Heights,4,1200000,5,4,673,-37.7545,144.8736
Avondale Heights,3,636000,1,2,571,-37.7605,144.8581
Avondale Heights,3,680000,1,2,570,-37.7591,144.8542
Avondale Heights,4,1160000,3,2,789,-37.7537,144.8729
Avondale Heights,3,750000,1,1,529,-37.7721,144.8576
Avondale Heights,3,627500,1,1,550,-37.7632,144.8622
Avondale Heights,3,880000,2,2,339,-37.7519,144.8534
Avondale Heights,4,950000,3,3,761,-37.7524,144.8714
Avondale Heights,4,1600000,3,3,1801,-37.7532,144.8766
Avondale Heights,2,585000,1,1,136,-37.7623,144.8613
Avondale Heights,3,650000,1,3,574,-37.7627,144.857
Avondale Heights,3,725000,1,4,606,-37.752,144.854
Avondale Heights,3,665000,2,1,289,-37.7644,144.8657
Avondale Heights,3,560500,1,1,177,-37.7664,144.8583
Avondale Heights,3,615000,1,2,649,-37.758,144.86
Avondale Heights,3,845000,1,3,704,-37.7681,144.8592
Avondale Heights,3,585000,1,2,322,-37.7686,144.8576
Avondale Heights,2,440000,1,1,263,-37.7697,144.8657
Avondale Heights,3,850000,1,2,766,-37.7522,144.8518
Avondale Heights,5,850000,2,4,574,-37.7639,144.8615
Avondale Heights,3,705000,1,1,581,-37.7691,144.8575
Avondale Heights,4,1100000,3,2,873,-37.7609,144.8639
Avondale Heights,3,892500,1,1,586,-37.7642,144.8603
Avondale Heights,3,695000,1,2,588,-37.771,144.8586
Avondale Heights,2,522500,1,1,220,-37.756,144.8641
Avondale Heights,4,680000,2,2,554,-37.7649,144.8633
Avondale Heights,3,500000,1,1,260,-37.7507,144.8576
Avondale Heights,2,550000,1,2,158,-37.7592,144.8681
Avondale Heights,3,730000,2,2,705,-37.766,144.8596
Avondale Heights,3,875000,1,3,812,-37.765,144.8578
Avondale Heights,3,850000,2,8,585,-37.751,144.8571
Avondale Heights,3,635000,1,1,597,-37.7568,144.8572
Avondale Heights,4,762000,2,2,589,-37.7573,144.8534
Avondale Heights,2,411000,1,1,0,-37.7608,144.863
Avondale Heights,4,790000,2,2,570,-37.7513,144.859
Avondale Heights,4,605000,1,0,569,-37.7563,144.8601
Avondale Heights,3,805000,2,2,593,-37.7607,144.8581
Avondale Heights,4,890000,2,4,585,-37.757,144.8566
Avondale Heights,3,795000,1,1,549,-37.7644,144.8575
Avondale Heights,3,634000,2,1,582,-37.7584,144.8568
Avondale Heights,3,642000,1,1,590,-37.7567,144.8572
Avondale Heights,3,863000,2,3,638,-37.7546,144.8585
Avondale Heights,3,740000,1,2,607,-37.7546,144.857
Balaclava,4,1819000,2,1,244,-37.8668,144.9928
Balaclava,2,410000,1,2,0,-37.8731,144.9958
