views,likes,dislikes,comment_count,,,,,
2032,12,0,10,,,,,
2043,4,0,0,,,,,
2047,12,2,16,,,,,
2050,4,0,0,,,,,
2055,90,4,26,,,,,
2062,9,0,0,,,,,
2068,0,0,1,,,,,
2069,24,0,1,,,,,
2075,4,1,0,,,,,
2075,11,0,0,,,,,
2078,42,5,7,,,,,
2078,4,0,0,,,,,
2078,7,0,0,,,,,
2082,20,0,5,,,,,
2084,35,11,0,,,,,
2084,45,5,21,,,,,
2085,35,3,8,,,,,
2086,9,0,0,,,,,
2087,4,0,0,,,,,
2093,0,0,0,,,,,
2093,43,2,47,,,,,
2101,6,0,0,,,,,
2128,15,5,4,,,,,
2139,12,0,10,,,,,
2171,12,2,17,,,,,
2178,15,2,4,,,,,
2197,0,2,0,,,,,
2232,12,3,19,,,,,
2234,18,2,4,,,,,
2234,12,0,0,,,,,
2259,0,0,0,,,,,
2264,15,2,4,,,,,
2291,72,0,8,,,,,
2302,2,0,0,,,,,
2318,45,5,7,,,,,
2324,7,0,0,,,,,
2328,30,0,1,,,,,
2331,5,1,1,,,,,
2332,15,2,4,,,,,
2358,17,1,1,,,,,
2367,55,1,4,,,,,
2373,19,0,3,,,,,
2373,7,0,0,,,,,
2377,18,2,4,,,,,
2382,3,0,1,,,,,
2384,15,2,4,,,,,
2394,19,0,2,,,,,
2397,2,0,0,,,,,
2413,110,0,7,,,,,
2421,10,0,0,,,,,
2427,12,0,0,,,,,
2439,35,1,4,,,,,
2447,0,3,1,,,,,
2452,2,0,0,,,,,
2460,19,0,3,,,,,
2472,19,2,4,,,,,
2479,41,9,25,,,,,
2492,19,1,3,,,,,
2492,4,0,0,,,,,
2493,8,12,5,,,,,
2511,0,0,3,,,,,
2514,8,1,0,,,,,
2516,24,3,5,,,,,
2519,48,6,7,,,,,
2566,113,0,7,,,,,
2577,35,2,4,,,,,
2577,8,12,5,,,,,
2585,7,0,0,,,,,
2587,5,1,1,,,,,
2598,8,1,0,,,,,
2604,27,0,0,,,,,
2606,7,0,0,,,,,
2611,8,12,5,,,,,
2611,8,12,5,,,,,
2612,4,2,0,,,,,
2617,77,20,34,,,,,
2620,8,12,5,,,,,
2620,8,12,5,,,,,
2621,33,8,18,,,,,
2629,35,2,4,,,,,
2647,42,9,21,,,,,
2664,16,5,4,,,,,
2665,11,0,0,,,,,
2681,6,1,1,,,,,
2691,51,6,8,,,,,
2691,37,0,1,,,,,
2691,20,5,20,,,,,
2696,0,0,3,,,,,
2700,59,2,7,,,,,
2701,116,1,7,,,,,
2717,5,0,0,,,,,
2721,6,1,1,,,,,
2739,18,5,10,,,,,
2758,41,9,21,,,,,
2770,29,0,0,,,,,
2782,84,0,9,,,,,
2785,6,3,12,,,,,
2805,52,7,8,,,,,
2816,77,21,35,,,,,
2840,119,1,7,,,,,
2841,4,3,0,,,,,
2860,22,0,3,,,,,
2860,4,3,3,,,,,
2861,37,3,73,,,,,
2863,2,0,0,,,,,
2869,2,2,0,,,,,
2885,3,0,2,,,,,
2892,30,0,0,,,,,
2896,30,0,3,,,,,
2910,1,3,1,,,,,
2917,29,3,5,,,,,
2929,13,4,1,,,,,
2944,32,0,3,,,,,
2954,5,3,0,,,,,
2957,20,5,10,,,,,
2968,39,3,70,,,,,
2975,6,39,0,,,,,
2987,2,0,0,,,,,
2992,28,0,1,,,,,
3003,25,3,7,,,,,
3006,75,4,10,,,,,
3033,7,3,12,,,,,
3037,39,3,70,,,,,
3046,6,3,2,,,,,
3052,7,39,0,,,,,
3052,2,0,0,,,,,
3055,41,0,2,,,,,
3068,20,5,10,,,,,
3077,33,40,20,,,,,
3079,5,3,0,,,,,
3080,34,8,20,,,,,
3085,72,1,9,,,,,
3085,39,3,70,,,,,
3085,2,0,0,,,,,
3111,2,0,0,,,,,
3114,14,0,4,,,,,
3116,15,4,1,,,,,
3123,89,0,10,,,,,
3128,8,3,7,,,,,
3130,2,0,0,,,,,
3132,16,5,21,,,,,
3133,37,2,10,,,,,
3137,24,0,3,,,,,
3148,3,0,0,,,,,
3154,32,0,4,,,,,
3155,56,2,5,,,,,
3170,4,0,1,,,,,
3174,30,0,1,,,,,
3180,8,3,8,,,,,
3195,8,3,8,,,,,
3215,4,4,4,,,,,
3221,15,0,0,,,,,
3237,161,2,35,,,,,
3240,179,1,59,,,,,
3255,30,1,1,,,,,
3286,15,4,2,,,,,
3287,79,3,19,,,,,
3290,76,1,9,,,,,
3307,67,1,5,,,,,
3309,35,8,17,,,,,
3311,42,0,2,,,,,
3312,4,4,4,,,,,
3317,19,0,2,,,,,
3318,57,2,5,,,,,
3319,30,1,1,,,,,
3327,9,2,2,,,,,
3329,26,0,3,,,,,
3329,96,1,11,,,,,
3333,4,3,5,,,,,
3345,66,1,8,,,,,
3346,48,23,53,,,,,
3362,4,4,4,,,,,
3379,16,0,0,,,,,
3390,9,0,1,,,,,
3390,129,1,43,,,,,
3391,151,1,20,,,,,
3393,12,0,2,,,,,
3409,2,2,0,,,,,
3411,41,0,8,,,,,
3419,67,1,8,,,,,
3438,18,0,0,,,,,
3442,59,2,5,,,,,
3456,4,4,5,,,,,
3466,83,3,19,,,,,
3467,17,0,0,,,,,
3472,26,0,3,,,,,
3472,426,8,63,,,,,
3479,34,0,4,,,,,
3483,67,1,8,,,,,
3491,19,0,2,,,,,
3503,153,1,20,,,,,
3519,9,2,2,,,,,
3538,27,0,0,,,,,
3545,18,3,1,,,,,
3551,1,0,0,,,,,
3560,0,0,0,,,,,
3570,84,3,21,,,,,
3577,156,1,20,,,,,
3577,12,0,2,,,,,
3591,92,4,14,,,,,
3595,16,3,7,,,,,
3596,20,4,13,,,,,
3597,59,8,13,,,,,
3598,28,0,3,,,,,
3616,136,1,42,,,,,
3634,19,2,2,,,,,
3635,84,3,21,,,,,
3640,54,1,4,,,,,
3643,159,1,20,,,,,
3644,18,0,0,,,,,
3645,42,4,21,,,,,
3649,69,1,5,,,,,
3653,47,3,25,,,,,
3696,81,12,80,,,,,
3699,19,3,1,,,,,
3705,9,0,1,,,,,
3711,12,0,2,,,,,
3721,29,4,34,,,,,
3722,258,2,74,,,,,
3724,40,1,42,,,,,
3735,139,1,42,,,,,
3741,72,9,68,,,,,
3741,59,13,9,,,,,
3746,2,0,0,,,,,
3748,6,0,0,,,,,
3778,67,10,2,,,,,
3780,0,0,0,,,,,
3788,37,1,5,,,,,
3791,70,1,6,,,,,
3791,13,0,4,,,,,
3797,17,3,7,,,,,
3800,2,2,0,,,,,
3817,82,12,87,,,,,
3820,12,0,2,,,,,
3824,28,0,0,,,,,
3831,0,0,0,,,,,
3837,44,6,24,,,,,
3839,48,3,25,,,,,
3841,97,4,14,,,,,
3842,67,11,3,,,,,
3847,21,6,20,,,,,
3866,21,6,20,,,,,
3875,22,3,3,,,,,
3888,78,5,36,,,,,
3892,35,14,91,,,,,
3893,21,6,20,,,,,
3896,9,0,1,,,,,
3902,13,0,4,,,,,
3902,21,6,20,,,,,
3906,19,3,0,,,,,
3912,67,11,3,,,,,
3913,546,10,75,,,,,
3913,2,0,0,,,,,
3914,48,3,24,,,,,
3917,113,1,6,,,,,
3921,0,0,0,,,,,
3928,82,13,92,,,,,
3931,17,0,2,,,,,
3939,107,4,15,,,,,
3940,73,9,69,,,,,
3957,13,0,4,,,,,
3963,21,6,5,,,,,
3976,30,5,45,,,,,
3987,100,4,15,,,,,
3994,19,3,0,,,,,
3996,45,6,17,,,,,
4008,13,0,4,,,,,
4009,61,6,14,,,,,
4010,83,13,94,,,,,
4027,29,0,0,,,,,
4035,2,0,0,,,,,
4040,19,3,0,,,,,
4050,0,0,0,,,,,
4078,10,0,0,,,,,
4087,99,13,18,,,,,
4114,2,2,0,,,,,
4131,121,1,8,,,,,
4135,30,0,0,,,,,
4143,22,0,4,,,,,
4167,76,18,1,,,,,
4168,8,1,1,,,,,
4175,60,0,3,,,,,
4176,100,13,17,,,,,
4178,16,1,3,,,,,
4206,22,6,56,,,,,
4214,580,10,82,,,,,
4218,31,0,0,,,,,
4232,49,4,4,,,,,
4233,126,1,8,,,,,
4253,29,0,4,,,,,
4266,55,45,21,,,,,
4275,31,0,0,,,,,
4318,32,0,0,,,,,
4321,10,3,2,,,,,
4351,10,0,0,,,,,
4371,18,0,0,,,,,
4378,268,10,19,,,,,
4386,2,2,1,,,,,
4387,6,0,0,,,,,
4401,596,10,84,,,,,
4439,23,9,5,,,,,
4442,14,0,1,,,,,
4442,46,3,7,,,,,
4448,31,5,48,,,,,
4452,140,10,13,,,,,
4484,44,1,48,,,,,
4497,113,4,16,,,,,
4524,44,7,9,,,,,
4541,144,1,29,,,,,
4562,64,9,17,,,,,
4569,35,18,19,,,,,
4576,15,2,4,,,,,
4593,10,3,2,,,,,
4596,2,0,0,,,,,
4610,11,1,6,,,,,
4623,31,6,44,,,,,
4631,21,0,6,,,,,
4636,26,1,0,,,,,
4674,2,0,0,,,,,
4681,2,3,1,,,,,
4688,45,1,60,,,,,
4696,629,10,92,,,,,
4722,85,2,15,,,,,
4732,203,6,33,,,,,
4734,11,3,2,,,,,
4736,143,11,14,,,,,
4742,21,1,6,,,,,
4743,11,1,6,,,,,
4744,2,0,1,,,,,
4759,40,2,13,,,,,
4767,90,1,4,,,,,
4771,31,7,51,,,,,
4802,2,4,1,,,,,
4806,23,1,6,,,,,
4810,22,2,3,,,,,
4816,23,10,7,,,,,
4830,26,0,4,,,,,
4842,23,1,6,,,,,
4843,387,13,27,,,,,
4850,22,1,1,,,,,
4862,65,0,0,,,,,
4864,31,8,51,,,,,
4874,46,1,61,,,,,
4880,2,4,1,,,,,
4887,64,3,6,,,,,
4892,38,2,3,,,,,
4903,26,1,0,,,,,
4923,649,11,95,,,,,
4938,122,9,22,,,,,
4950,102,1,13,,,,,
4964,46,1,61,,,,,
4970,13,1,1,,,,,
4985,6,0,0,,,,,
4995,150,11,15,,,,,
5011,93,143,109,,,,,
5013,8,1,1,,,,,
5019,46,1,64,,,,,
5063,50,1,5,,,,,
5092,301,2,17,,,,,
5119,20,1,3,,,,,
5144,18,0,2,,,,,
5149,242,0,54,,,,,
5160,152,11,15,,,,,
5169,27,0,4,,,,,
5173,26,2,0,,,,,
5193,222,17,28,,,,,
5205,50,1,5,,,,,
5208,54,27,56,,,,,
5217,37,0,4,,,,,
5218,42,2,13,,,,,
5220,26,2,0,,,,,
5222,24,10,8,,,,,
5224,13,1,1,,,,,
5224,522,2,71,,,,,
5226,249,20,19,,,,,
5251,50,1,5,,,,,
5258,433,1,30,,,,,
5263,73,144,147,,,,,
5270,136,3,20,,,,,
5295,29,0,0,,,,,
5304,52,13,68,,,,,
5305,24,16,39,,,,,
5318,20,1,3,,,,,
5349,68,9,22,,,,,
5366,19,0,2,,,,,
5371,101,81,68,,,,,
5391,57,0,3,,,,,
5408,26,3,4,,,,,
5439,8,0,0,,,,,
5443,46,26,27,,,,,
5444,100,4,15,,,,,
5454,60,0,4,,,,,
5464,13,1,2,,,,,
5488,702,49,137,,,,,
5506,12,0,3,,,,,
5509,0,0,17,,,,,
5575,91,44,64,,,,,
5576,312,2,17,,,,,
5580,21,2,0,,,,,
5584,38,2,10,,,,,
5604,34,56,15,,,,,
5625,189,24,104,,,,,
5648,21,2,0,,,,,
5682,21,2,0,,,,,
5687,25,10,8,,,,,
5696,8,0,1,,,,,
5708,55,27,58,,,,,
5722,93,45,65,,,,,
5751,89,49,58,,,,,
5760,74,147,102,,,,,
5775,108,2,18,,,,,
5813,33,3,0,,,,,
5817,22,0,1,,,,,
5839,427,14,28,,,,,
5870,11,0,5,,,,,
5876,13,0,14,,,,,
5925,149,7,50,,,,,
5938,108,3,21,,,,,
5939,56,27,55,,,,,
5963,47,2,13,,,,,
5965,186,8,52,,,,,
5969,192,26,104,,,,,
5997,16,0,4,,,,,
6015,25,10,8,,,,,
6018,284,2,22,,,,,
6044,462,2,31,,,,,
6046,16,0,4,,,,,
6051,465,43,63,,,,,
6062,56,28,53,,,,,
6064,7,23,19,,,,,
6075,116,309,202,,,,,
6078,47,0,3,,,,,
6082,16,0,7,,,,,
6084,203,70,200,,,,,
6091,42,2,3,,,,,
6101,29,3,4,,,,,
6122,16,0,8,,,,,
6148,121,3,19,,,,,
6149,109,3,18,,,,,
6170,276,21,21,,,,,
6172,29,4,33,,,,,
6179,407,1,87,,,,,
6181,65,7,8,,,,,
6183,56,29,54,,,,,
6191,274,13,171,,,,,
6247,22,0,2,,,,,
6268,477,44,60,,,,,
6271,68,2,3,,,,,
6279,25,10,8,,,,,
6304,180,34,69,,,,,
6318,119,310,185,,,,,
6320,90,8,15,,,,,
6326,81,6,18,,,,,
6335,715,6,57,,,,,
6377,414,16,35,,,,,
6383,227,17,35,,,,,
6405,121,312,186,,,,,
6412,49,0,2,,,,,
6447,30,4,4,,,,,
6450,121,312,187,,,,,
6459,26,10,8,,,,,
6473,205,6,15,,,,,
6483,492,45,61,,,,,
6491,15,0,8,,,,,
6553,477,2,32,,,,,
6565,194,8,68,,,,,
6570,15,0,8,,,,,
6582,174,8,22,,,,,
6593,164,19,23,,,,,
6598,646,6,72,,,,,
6598,14,0,14,,,,,
6600,426,4,88,,,,,
6621,107,4,15,,,,,
6624,412,18,40,,,,,
6684,18,57,54,,,,,
6685,11,35,18,,,,,
6687,56,0,3,,,,,
6688,26,11,8,,,,,
6743,11,35,16,,,,,
6745,362,6,22,,,,,
6776,71,2,3,,,,,
6801,11,35,16,,,,,
6816,102,75,76,,,,,
6826,34,11,19,,,,,
6843,49,4,3,,,,,
6882,291,22,21,,,,,
6883,436,4,89,,,,,
6890,199,9,72,,,,,
6904,18,58,53,,,,,
6925,46,8,12,,,,,
6930,63,5,7,,,,,
6963,153,16,153,,,,,
6979,91,48,180,,,,,
6982,7,1,2,,,,,
6988,15,0,14,,,,,
6993,20,58,53,,,,,
7003,63,76,252,,,,,
7036,55,1,11,,,,,
7052,686,13,29,,,,,
7105,92,0,8,,,,,
7108,587,5,57,,,,,
7114,145,6,17,,,,,
7126,113,6,8,,,,,
7130,114,4,5,,,,,
7135,160,1,11,,,,,
7188,29,2,2,,,,,
7189,15,0,14,,,,,
7217,186,20,24,,,,,
7251,80,4,11,,,,,
7256,65,77,260,,,,,
7260,205,14,23,,,,,
7265,89,8,22,,,,,
7278,93,20,56,,,,,
7288,145,6,17,,,,,
7325,6,6,1,,,,,
7332,70,85,267,,,,,
7379,74,2,3,,,,,
7393,51,4,3,,,,,
7399,148,7,17,,,,,
7406,26,1,3,,,,,
7416,26,38,35,,,,,
7432,24,5,5,,,,,
7436,170,8,59,,,,,
7490,425,4,50,,,,,
7498,198,20,25,,,,,
7524,67,19,56,,,,,
7538,71,88,200,,,,,
7544,1049,14,128,,,,,
7554,29,3,2,,,,,
7576,51,34,108,,,,,
7582,120,7,9,,,,,
7590,7,1,2,,,,,
7596,277,22,44,,,,,
7613,70,4,8,,,,,
7621,98,6,18,,,,,
7637,296,15,188,,,,,
7638,18,1,1,,,,,
7658,242,1,26,,,,,
7662,52,4,3,,,,,
7688,785,7,59,,,,,
7689,29,3,2,,,,,
7718,73,88,199,,,,,
7724,82,5,11,,,,,
7746,203,20,27,,,,,
7750,115,5,17,,,,,
7753,29,3,3,,,,,
7767,74,88,200,,,,,
7829,127,99,78,,,,,
7840,253,17,36,,,,,
7872,80,2,3,,,,,
7924,122,13,21,,,,,
7938,430,9,42,,,,,
7952,126,8,9,,,,,
7966,1076,43,156,,,,,
7973,515,11,68,,,,,
7977,28,5,4,,,,,
7978,219,2,12,,,,,
8004,38,15,15,,,,,
8014,348,5,26,,,,,
8021,65,5,7,,,,,
8023,134,15,16,,,,,
8025,29,1,3,,,,,
8037,136,19,12,,,,,
8059,307,18,30,,,,,
8086,84,5,11,,,,,
8088,280,4,145,,,,,
8110,302,16,197,,,,,
8116,260,0,45,,,,,
8120,199,9,130,,,,,
8128,84,11,8,,,,,
8130,127,14,21,,,,,
8154,84,2,3,,,,,
8177,491,3,105,,,,,
8200,58,9,0,,,,,
8219,42,1,3,,,,,
8232,85,5,11,,,,,
8235,809,7,59,,,,,
8266,677,18,146,,,,,
8284,27,7,6,,,,,
8285,733,7,127,,,,,
8300,7,1,2,,,,,
8300,38,22,22,,,,,
8318,30,1,3,,,,,
8325,185,4,24,,,,,
8363,117,6,18,,,,,
8370,308,17,203,,,,,
8394,46,9,25,,,,,
8411,71,69,158,,,,,
8440,66,43,188,,,,,
8448,57,18,20,,,,,
8463,278,38,35,,,,,
8469,74,17,214,,,,,
8486,30,4,0,,,,,
8493,309,17,203,,,,,
8493,31,1,3,,,,,
8493,107,6,19,,,,,
8502,42,0,4,,,,,
8523,27,8,85,,,,,
8585,170,25,191,,,,,
8616,60,18,20,,,,,
8626,171,20,173,,,,,
8633,99,1,9,,,,,
8636,57,22,14,,,,,
8637,45,2,3,,,,,
8659,72,4,8,,,,,
8690,581,5,26,,,,,
8696,177,9,39,,,,,
8697,78,11,22,,,,,
8707,188,161,295,,,,,
8715,129,15,21,,,,,
8719,60,18,20,,,,,
8720,1155,7,96,,,,,
8750,71,40,21,,,,,
8769,122,6,18,,,,,
8771,43,0,4,,,,,
8784,27,8,85,,,,,
8790,837,7,60,,,,,
8795,23,1,1,,,,,
8798,60,18,20,,,,,
8800,550,12,69,,,,,
8903,138,113,84,,,,,
8924,48,2,3,,,,,
8938,43,0,4,,,,,
8941,590,18,25,,,,,
8945,115,16,73,,,,,
8950,28,9,6,,,,,
8957,329,13,45,,,,,
8992,13,46,30,,,,,
8993,292,5,162,,,,,
8999,37,24,90,,,,,
9015,894,58,385,,,,,
9020,123,6,18,,,,,
9036,427,14,79,,,,,
9046,45,0,4,,,,,
9078,28,9,7,,,,,
9086,45,91,23,,,,,
9094,223,19,56,,,,,
9109,112,46,10,,,,,
9127,563,13,70,,,,,
9132,21,8,64,,,,,
9136,797,83,163,,,,,
9193,29,52,45,,,,,
9197,94,54,0,,,,,
9239,178,20,138,,,,,
9282,405,11,105,,,,,
9282,194,1,20,,,,,
9287,105,12,123,,,,,
9322,139,19,12,,,,,
9346,235,19,61,,,,,
9382,46,92,23,,,,,
9387,10,1,6,,,,,
9391,30,8,13,,,,,
9395,365,4,47,,,,,
9398,211,3,32,,,,,
9420,175,26,194,,,,,
9423,785,17,129,,,,,
9441,14,47,31,,,,,
9443,316,3,23,,,,,
9445,381,22,35,,,,,
9448,577,15,71,,,,,
9454,267,36,43,,,,,
9459,238,19,61,,,,,
9474,144,114,68,,,,,
9477,1392,63,569,,,,,
9489,100,12,34,,,,,
9500,192,9,36,,,,,
9510,331,6,17,,,,,
9521,239,19,61,,,,,
9529,46,92,26,,,,,
9560,239,19,61,,,,,
9561,39,24,91,,,,,
9566,436,16,25,,,,,
9567,1016,52,146,,,,,
9568,46,92,26,,,,,
9573,39,16,194,,,,,
9577,139,7,31,,,,,
9595,46,92,26,,,,,
9625,459,9,29,,,,,
9630,12,1,6,,,,,
9637,14,47,32,,,,,
9663,665,8,63,,,,,
9666,94,7,9,,,,,
9673,585,15,74,,,,,
9692,148,115,68,,,,,
9747,447,14,81,,,,,
9747,97,58,0,,,,,
9762,14,47,32,,,,,
9781,177,26,195,,,,,
9802,41,24,71,,,,,
9802,16,0,5,,,,,
9803,106,1,10,,,,,
9812,265,2,65,,,,,
9818,13,1,6,,,,,
9833,73,21,62,,,,,
9846,148,116,69,,,,,
9876,142,19,11,,,,,
9892,250,7,19,,,,,
9932,111,9,40,,,,,
9934,41,24,72,,,,,
9947,14,1,6,,,,,
9977,41,25,72,,,,,
9977,120,11,21,,,,,
10001,1254,8,99,,,,,
10003,41,25,72,,,,,
10007,589,15,80,,,,,
10020,70,7,1,,,,,
10020,178,26,196,,,,,
10026,204,143,100,,,,,
10039,41,25,72,,,,,
10042,256,2,28,,,,,
10070,41,25,72,,,,,
10107,195,9,38,,,,,
10130,39,17,226,,,,,
10179,67,27,0,,,,,
10182,137,69,0,,,,,
10186,39,0,0,,,,,
10194,594,15,81,,,,,
10228,235,87,271,,,,,
10232,153,262,139,,,,,
10242,178,26,196,,,,,
10270,39,0,0,,,,,
10283,49,23,25,,,,,
10286,143,19,11,,,,,
10309,254,7,19,,,,,
10310,212,1,21,,,,,
10325,485,18,99,,,,,
10345,39,0,0,,,,,
10351,58,23,17,,,,,
10358,34,0,14,,,,,
10386,45,25,41,,,,,
10393,39,27,24,,,,,
10431,99,61,0,,,,,
10434,178,26,196,,,,,
10448,17,0,6,,,,,
10457,54,4,2,,,,,
10461,143,19,11,,,,,
10477,35,14,0,,,,,
10482,445,11,106,,,,,
10492,49,23,25,,,,,
10505,565,22,41,,,,,
10511,110,1,7,,,,,
10521,907,12,86,,,,,
10525,226,18,119,,,,,
10529,406,20,27,,,,,
10541,261,7,19,,,,,
10542,77,22,65,,,,,
10558,41,17,226,,,,,
10559,39,4,1,,,,,
10566,178,26,196,,,,,
10579,144,20,10,,,,,
10603,99,61,0,,,,,
10621,49,23,26,,,,,
10640,168,7,156,,,,,
10655,17,0,6,,,,,
10661,178,26,195,,,,,
10692,49,23,26,,,,,
10693,99,64,0,,,,,
10695,100,12,20,,,,,
10698,102,21,75,,,,,
10720,10,6,42,,,,,
10731,29,2,1,,,,,
10754,163,30,50,,,,,
10756,99,64,0,,,,,
10765,1523,15,268,,,,,
10772,52,12,70,,,,,
10775,159,295,758,,,,,
10806,99,64,0,,,,,
10818,368,5,27,,,,,
10836,41,17,229,,,,,
10838,7,42,10,,,,,
10858,355,10,55,,,,,
10881,1006,16,164,,,,,
10882,43,3,2,,,,,
10891,771,5,79,,,,,
10899,58,4,5,,,,,
10909,62,11,7,,,,,
10914,295,59,57,,,,,
10962,673,7,34,,,,,
10989,469,6,55,,,,,
10991,135,9,64,,,,,
11023,110,33,30,,,,,
11028,255,35,28,,,,,
11032,58,4,5,,,,,
11038,89,52,55,,,,,
11042,551,158,139,,,,,
11043,53,12,55,,,,,
11053,120,85,216,,,,,
11054,111,5,18,,,,,
11080,315,54,37,,,,,
11090,143,72,0,,,,,
11107,85,26,201,,,,,
11123,459,11,108,,,,,
11133,366,25,50,,,,,
11140,133,0,8,,,,,
11145,175,8,158,,,,,
11146,116,13,126,,,,,
11148,55,3,8,,,,,
11156,86,22,74,,,,,
11156,58,4,5,,,,,
11199,62,11,9,,,,,
11204,222,39,137,,,,,
11210,59,9,0,,,,,
11216,2,14,13,,,,,
11224,54,12,53,,,,,
11299,124,18,33,,,,,
11300,95,18,112,,,,,
11309,145,79,0,,,,,
11312,54,12,53,,,,,
11324,163,12,17,,,,,
11325,83,4,6,,,,,
11339,246,1,26,,,,,
11355,622,7,76,,,,,
11378,125,86,219,,,,,
11384,123,14,33,,,,,
11404,62,26,20,,,,,
11439,63,11,10,,,,,
11440,137,5,13,,,,,
11445,178,8,160,,,,,
11451,69,1,2,,,,,
11453,114,34,29,,,,,
11484,82,4,74,,,,,
11503,304,60,60,,,,,
11503,145,79,0,,,,,
11515,127,87,219,,,,,
11539,275,3,31,,,,,
11560,57,8,0,,,,,
11579,986,15,36,,,,,
11585,137,9,64,,,,,
11613,62,23,18,,,,,
11617,145,79,0,,,,,
11630,40,3,12,,,,,
11643,371,11,56,,,,,
11647,128,89,218,,,,,
11661,477,11,109,,,,,
11664,34,4,7,,,,,
11678,145,79,0,,,,,
11685,109,13,22,,,,,
11689,132,112,147,,,,,
11692,145,79,0,,,,,
11698,108,88,251,,,,,
11698,642,7,76,,,,,
11730,102,49,37,,,,,
11736,35,14,0,,,,,
11736,114,34,30,,,,,
11744,129,92,212,,,,,
11758,240,14,34,,,,,
11769,127,13,0,,,,,
11799,109,70,200,,,,,
11807,5,0,0,,,,,
11810,12,7,44,,,,,
11812,39,3,12,,,,,
11835,1561,5,204,,,,,
11849,5,0,0,,,,,
11851,139,9,55,,,,,
11887,5,0,0,,,,,
11917,128,12,43,,,,,
11994,76,60,170,,,,,
11995,1403,12,107,,,,,
12027,649,7,77,,,,,
12036,752,9,63,,,,,
12039,112,91,253,,,,,
12048,57,3,8,,,,,
12052,658,7,48,,,,,
12100,136,56,75,,,,,
12106,66,23,18,,,,,
12161,166,20,108,,,,,
12168,381,12,47,,,,,
